id,price,brand,name,ratingAverage,ratingCount,reviewCount,minPurchaseCount,recommendationRate,complaintRate,ratings
6110684,11614.43,AMICA,AMICA VC 1622 B,,0,0,20,,0.0,"[0, 0, 0, 0, 0]"
5266306,12490.00,CANDY,CANDY CFLO3550E/N,,0,0,100,,0.0,"[0, 0, 0, 0, 0]"
6389826,6970.88,GODDESS,GODDESS RCE0142GW9E ,,0,0,50,,0.0,"[0, 0, 0, 0, 0]"
7359976,4004.52,PHILCO,PHILCO PTL 93 F,1.0,1,0,100,0.0,0.0,"[1, 0, 0, 0, 0]"
6438314,8689.00,CANDY,CANDY CIO 225 EE/N,,0,0,100,,0.0,"[0, 0, 0, 0, 0]"
7864318,10466.87,Kluge,Kluge KND247W,,0,0,0,,0.0,"[0, 0, 0, 0, 0]"
7226284,3536.59,PHILCO,PHILCO PTB 94 FW,,0,0,100,,0.0074,"[0, 0, 0, 0, 0]"
6366404,74490.00,Samsung,SAMSUNG RF65A967ESR/EO,,0,0,10,,0.0,"[0, 0, 0, 0, 0]"
7743987,12847.16,SNAIGE,SNAIGE CD29SM-S300SE,,0,0,10,,0.0,"[0, 0, 0, 0, 0]"
6497709,15090.00,Vestfrost,VESTFROST VR-FB383-2H0I,,0,0,0,,0.0,"[0, 0, 0, 0, 0]"
5290774,16923.88,HAIER,HAIER A3FE835CGJE,,0,0,10,,0.0,"[0, 0, 0, 0, 0]"
6318106,8490.00,LIEBHERR,LIEBHERR CTP 211,1.0,1,1,200,0.0,0.0,"[1, 0, 0, 0, 0]"
6788421,21996.94,SIEMENS,SIEMENS KI86NHFE0,,0,0,20,,0.0,"[0, 0, 0, 0, 0]"
7747095,14990.00,GORENJE,GORENJE RKI419FP1,,0,0,20,,0.0159,"[0, 0, 0, 0, 0]"
7746851,7940.03,LORD,LORD R12,,0,0,10,,0.0,"[0, 0, 0, 0, 0]"
6215785,10466.87,ROMO,ROMO RCS2270X,3.4,5,0,50,0.6,0.0,"[1, 0, 1, 2, 1]"
6788420,21336.49,SIEMENS,SIEMENS KI86NVSE0,2.0,1,1,20,0.0,0.0,"[0, 1, 0, 0, 0]"
5832965,12279.32,SEVERIN,SEVERIN RKG 8932,4.4,3,1,0,0.67,0.0,"[0, 0, 1, 0, 2]"
5305324,31446.36,PHILCO,PHILCO PX 502 Iceberg SBS,,0,0,20,,0.0164,"[0, 0, 0, 0, 0]"
7359969,29410.09,HAIER,HAIER HCR5919ENMB,,0,0,20,,0.0,"[0, 0, 0, 0, 0]"
7175999,13390.00,FAGOR,FAGOR 3FFK-6945,1.0,1,0,20,0.0,0.0,"[1, 0, 0, 0, 0]"
6994311,16767.53,Bosch,BOSCH KGN392WDF,,0,0,20,,0.0,"[0, 0, 0, 0, 0]"
6332497,42824.13,SIEMENS,SIEMENS KI86FPDD0,,0,0,10,,0.0,"[0, 0, 0, 0, 0]"
7079086,29619.55,LIEBHERR,LIEBHERR Rd 5250,,0,0,20,,0.0,"[0, 0, 0, 0, 0]"
7737473,4228.01,GUZZANTI,Guzzanti GZ 48A,,0,0,20,,0.0,"[0, 0, 0, 0, 0]"
6393999,9513.95,SNAIGE,SNAIGE FR24SM-PRDL0E,1.0,1,0,50,0.0,0.0,"[1, 0, 0, 0, 0]"
6237910,17690.00,AEG,AEG RKB638E4MX,,0,0,50,,0.0169,"[0, 0, 0, 0, 0]"
6308532,9513.95,SNAIGE,SNAIGE FR24SM-PRJ30E,,0,0,50,,0.0,"[0, 0, 0, 0, 0]"
6292958,6751.55,AEG,AEG RTB414F1AW,,0,0,10,,0.0,"[0, 0, 0, 0, 0]"
6638127,4569.66,GUZZANTI,GUZZANTI GZ 44S,,0,0,20,,0.0,"[0, 0, 0, 0, 0]"
6937650,40044.89,LIEBHERR,LIEBHERR IRBe 5120,,0,0,20,,0.0,"[0, 0, 0, 0, 0]"
7327762,16449.41,WHIRLPOOL,WHIRLPOOL W7X 93A K 1,,0,0,0,,0.0,"[0, 0, 0, 0, 0]"
6796421,18089.00,SIEMENS,SIEMENS KG39NXLCF,,0,0,20,,0.0256,"[0, 0, 0, 0, 0]"
6308533,10238.31,SNAIGE,SNAIGE FR27SM-PRR50F,5.0,1,0,10,1.0,0.0,"[0, 0, 0, 0, 1]"
7852098,5713.45,SEVERIN,Severin TKS 8845,,0,0,0,,0.0,"[0, 0, 0, 0, 0]"
6674547,63911.57,Miele,MIELE K 7773 D,,0,0,0,,0.0,"[0, 0, 0, 0, 0]"
6153390,12830.77,BEKO,BEKO BCHA275E4SN,,0,0,50,,0.009,"[0, 0, 0, 0, 0]"
6994310,15835.27,Bosch,BOSCH KGN392LDF,,0,0,20,,0.0,"[0, 0, 0, 0, 0]"
8076934,4294.88,GUZZANTI,GUZZANTI GZ 48S,,0,0,0,,0.0,"[0, 0, 0, 0, 0]"
5673289,24990.00,Concept,CONCEPT LA7791ds TITANIA,,0,0,10,,0.0,"[0, 0, 0, 0, 0]"
7075542,50870.95,LIEBHERR,LIEBHERR CBNbsa 5753,1.0,1,0,0,0.0,0.0,"[1, 0, 0, 0, 0]"
7815428,18100.86,HOOVER,HOOVER HHCR3818ENPL,,0,0,10,,0.0,"[0, 0, 0, 0, 0]"
7327761,9654.23,WHIRLPOOL,WHIRLPOOL W7X 81I W,2.5,2,1,10,0.5,0.0,"[1, 0, 0, 1, 0]"
6332499,23290.00,Bosch,BOSCH KIL82AFF0,,0,0,10,,0.0,"[0, 0, 0, 0, 0]"
6977951,4904.80,Klarstein,KLARSTEIN Brooklyn 32 Silver mini,,0,0,0,,0.0,"[0, 0, 0, 0, 0]"
6674546,41803.19,Miele,MIELE K 7743 E,,0,0,0,,0.0,"[0, 0, 0, 0, 0]"
7176113,15990.00,FAGOR,FAGOR 3FIC-5440,,0,0,20,,0.0,"[0, 0, 0, 0, 0]"
6937662,43726.97,LIEBHERR,LIEBHERR ICNd 5123,,0,0,10,,0.0,"[0, 0, 0, 0, 0]"
6318113,13162.73,LIEBHERR,LIEBHERR CUef 331,,0,0,50,,0.0,"[0, 0, 0, 0, 0]"
7917928,30990.00,LG,LG GSLV71MCTD,,0,0,0,,0.0,"[0, 0, 0, 0, 0]"
7789598,28403.13,SIEMENS,SIEMENS KG49NXIBF,,0,0,0,,0.0,"[0, 0, 0, 0, 0]"
6713705,38209.44,HAIER,HAIER HFW7819EWMP,,0,0,0,,0.0,"[0, 0, 0, 0, 0]"
7075560,23948.18,LIEBHERR,LIEBHERR CNsdc 5223,,0,0,10,,0.0,"[0, 0, 0, 0, 0]"
6674549,36092.64,Miele,MIELE KF 7731 E,,0,0,10,,0.0,"[0, 0, 0, 0, 0]"
6447170,18679.21,SIEMENS,SIEMENS KI87VVFE1,,0,0,20,,0.0,"[0, 0, 0, 0, 0]"
2141636,16666.04,GUZZANTI,GUZZANTI GZ 338,,0,0,20,,0.0,"[0, 0, 0, 0, 0]"
7359968,27663.75,HAIER,HAIER HFR7720DWMP,,0,0,0,,0.0,"[0, 0, 0, 0, 0]"
6937728,18433.97,HAIER,HAIER HLE 172,,0,0,0,,0.0,"[0, 0, 0, 0, 0]"
6794388,22659.09,Samsung,SAMSUNG Bespoke RR39A7463AP/EF (bez panelu - konfigurovatelné),,0,0,10,,0.0,"[0, 0, 0, 0, 0]"
7333197,16280.55,LIEBHERR,LIEBHERR KGNsff 57Z03,,0,0,10,,0.0,"[0, 0, 0, 0, 0]"
7137686,27786.45,LIEBHERR,LIEBHERR RBsfe 5221,,0,0,0,,0.0,"[0, 0, 0, 0, 0]"
7665809,7951.47,HISENSE,HISENSE RB390N4AW21,3.0,2,0,20,0.5,0.0,"[1, 0, 0, 0, 1]"
6924110,6803.52,SEVERIN,SEVERIN VKS 8808,,0,0,20,,0.0,"[0, 0, 0, 0, 0]"
7359965,66326.09,HAIER,HAIER HCR7918EIMB,,0,0,0,,0.0,"[0, 0, 0, 0, 0]"
5557260,13729.16,LIEBHERR,LIEBHERR CUkw 2831,,0,0,0,,0.0,"[0, 0, 0, 0, 0]"
7333191,17956.21,LIEBHERR,LIEBHERR KGNsdd 52Z23,,0,0,10,,0.0,"[0, 0, 0, 0, 0]"
7075563,33298.10,LIEBHERR,LIEBHERR CNsdd 5753,,0,0,0,,0.0,"[0, 0, 0, 0, 0]"
7789597,24243.63,Bosch,BOSCH KGN39VXBT,,0,0,0,,0.0,"[0, 0, 0, 0, 0]"
7548199,13324.07,ROMO,ROMO RSA396W - 4-roky záruka po registraci,,0,0,10,,0.0,"[0, 0, 0, 0, 0]"
5557262,13423.04,LIEBHERR,LIEBHERR CUfb 2831,,0,0,20,,0.0,"[0, 0, 0, 0, 0]"
5842138,8665.89,SEVERIN,SEVERIN DT 8760,5.0,2,0,0,1.0,0.0,"[0, 0, 0, 0, 2]"
7852152,4547.89,SEVERIN,Severin GB 8880,,0,0,0,,0.0,"[0, 0, 0, 0, 0]"
6983602,29417.64,BEKO,BEKO GN1406231XBN,,0,0,0,,0.0,"[0, 0, 0, 0, 0]"
7789596,23579.78,Bosch,BOSCH KGN39VIBT,,0,0,0,,0.0,"[0, 0, 0, 0, 0]"
6448772,5704.87,ROMO,ROMO RTF2121W,,0,0,20,,0.0,"[0, 0, 0, 0, 0]"
7737464,5107.48,GUZZANTI,Guzzanti GZ 90B1,,0,0,0,,0.0,"[0, 0, 0, 0, 0]"
7333190,15409.78,LIEBHERR,LIEBHERR CNf 5704,,0,0,10,,0.0,"[0, 0, 0, 0, 0]"
7730386,7609.25,SNAIGE,SNAIGE FR23SM-PT000E,,0,0,20,,0.0,"[0, 0, 0, 0, 0]"
7414461,17798.87,ELECTROLUX,ELECTROLUX LNT7TF18S NoFrost,,0,0,10,,0.0,"[0, 0, 0, 0, 0]"
7433503,24990.00,GORENJE,GORENJE OBRB615DR,,0,0,0,,0.0,"[0, 0, 0, 0, 0]"
7951210,16265.06,LG,LG GBP52PYNBN,,0,0,0,,0.0,"[0, 0, 0, 0, 0]"
7386844,20547.91,SIEMENS,SIEMENS KG49N2IDF,,0,0,10,,0.0,"[0, 0, 0, 0, 0]"
7763375,18169.46,ELECTROLUX,ELECTROLUX 600 DynamicAir LRS2DE39X,,0,0,0,,0.0,"[0, 0, 0, 0, 0]"
7137683,24987.02,LIEBHERR,LIEBHERR RBe 5220,,0,0,0,,0.0,"[0, 0, 0, 0, 0]"
6926626,9990.12,SNAIGE,SNAIGE CC31SM-T100FF,,0,0,20,,0.0,"[0, 0, 0, 0, 0]"
7737472,6476.82,GUZZANTI,Guzzanti GZ 8812A,,0,0,10,,0.0,"[0, 0, 0, 0, 0]"
7075556,26675.62,LIEBHERR,LIEBHERR CNbdc 5733,,0,0,0,,0.0,"[0, 0, 0, 0, 0]"
6674557,10847.83,SNAIGE,SNAIGE FR27SM-PROC0F,,0,0,10,,0.0,"[0, 0, 0, 0, 0]"
6394000,9513.95,SNAIGE,SNAIGE FR24SM-PRDO0E,,0,0,10,,0.0,"[0, 0, 0, 0, 0]"
7789599,29345.20,Bosch,BOSCH KGN49AIBT,2.0,1,1,0,0.0,0.0,"[0, 1, 0, 0, 0]"
7439765,3990.00,GODDESS,GODDESS RME085GW8SSF,1.0,1,0,100,0.0,0.0081,"[1, 0, 0, 0, 0]"
7852074,26990.00,HAIER,HAIER HDPW5620ANPD,,0,0,0,,0.0,"[0, 0, 0, 0, 0]"
7333188,22652.01,LIEBHERR,LIEBHERR KGBNsfd 57Z33,,0,0,0,,0.0,"[0, 0, 0, 0, 0]"
7414236,36090.00,ELECTROLUX,ELECTROLUX ELT9VE52U0 NoFrost,,0,0,0,,0.0,"[0, 0, 0, 0, 0]"
